"V1","V2","V3","V4","Caterpillar"
"HAMVI","CARCA","CARYA","14","ACHADI"
"KALLA","TSUCA",NA,"2","CLADLI"
"ACERU","CARCA","CORYL","14","CROCNO"
"FAGGR","CARCA","HAMVI","10","ENNOSU"
"LINBE",NA,NA,"1","EPIMHO"
"ACERU","LYOLI","CARCA","15","EUTRCL"
"CARCA","ACERU","AMEXX","13","HIMEFI"
"CARCA","ACERU","HAMVI","14","IRIDEP"
"HAMVI","CARCA","QUEAL","13","LAMBFI"
"HAMVI","VACCO","CASDE","5","MALADI"
"KALLA","CLEAL","HAMVI","15","MELACA"
"OSTVI","QUEAL","FAGGR","17","MORRCO"
"KALLA","LYOLI",NA,"2","MORREV"
"CARCA","CARYA","ACERU","11","NEMARE"
"CLEAL",NA,NA,"1","NOLACL"
"HAMVI",NA,NA,"1","NOLATR"
"ACERU","CARCA","HAMVI","7","ORGYLE"
"HAMVI","VACCO","KALLA","11","ORTHRU"
"HAMVI",NA,NA,"1","PSEUCO"
"HAMVI",NA,NA,"1","PYREHE"
"ACERU",NA,NA,"1","SPERPU"
